Acidobacteria (350) (252), p-value = 0.00084513137470297
	Acidobacteria (350) (252), p-value = 0.00084513137470297
		Acidobacteriales (350) (252), p-value = 0.00084513137470297
			Acidobacteriaceae (350) (252), p-value = 0.00084513137470297
				Gp1 (130) (38), p-value = 7.10581655832912e-12
				Gp10 (2) (4), p-value = 0.328409947341765
				Gp11 (0) (2), p-value = 0.241810066399362
				Gp13 (1) (2), p-value = 0.4874516303297
				Gp16 (6) (2), p-value = 0.156839106569184
				Gp17 (1) (4), p-value = 0.177487292790869
				Gp2 (33) (9), p-value = 0.000233774709436537
				Gp22 (2) (7), p-value = 0.0822954742336415
				Gp25 (0) (1), p-value = 0.491629955947137
				Gp3 (91) (48), p-value = 0.000511412681780566
				Gp4 (20) (61), p-value = 2.02903990818037e-06
				Gp5 (1) (2), p-value = 0.4874516303297
				Gp6 (39) (61), p-value = 0.0130401010751002
				Gp7 (24) (10), p-value = 0.0164047865638542
				Gp9 (0) (1), p-value = 0.491629955947137
Actinobacteria (83) (176), p-value = 4.93951849221934e-09
;	Actinobacteria (83) (176), p-value = 4.93951849221934e-09
	Acidimicrobidae (3) (1), p-value = 0.325989909930288
		Acidimicrobiales (3) (1), p-value = 0.325989909930288
			Acidimicrobineae (3) (1), p-value = 0.325989909930288
				Acidimicrobiaceae (3) (1), p-value = 0.325989909930288
					Acidimicrobium (3) (1), p-value = 0.325989909930288
	Actinobacteridae (50) (151), p-value = 4.44916283377981e-13
		Actinomycetales (50) (151), p-value = 4.44916283377981e-13
			Corynebacterineae (13) (12), p-value = 0.535272764828788
				Gordoniaceae (1) (0), p-value = 0.508810572687225
					Gordonia (1) (0), p-value = 0.508810572687225
				Mycobacteriaceae (8) (9), p-value = 0.472175430430809
					Mycobacterium (8) (9), p-value = 0.472175430430809
				Nocardiaceae (3) (3), p-value = 0.640235843071588
					Nocardia (3) (2), p-value = 0.516501883093564
					Rhodococcus (0) (1), p-value = 0.491629955947137
				Williamsiaceae (1) (0), p-value = 0.508810572687225
					Williamsia (1) (0), p-value = 0.508810572687225
			Frankineae (5) (11), p-value = 0.094067967878645
				Geodermatophilaceae (0) (3), p-value = 0.118989284434193
					Blastococcus (0) (3), p-value = 0.118989284434193
				Kineosporiaceae (4) (5), p-value = 0.479445685996636
					Cryptosporangium (0) (5), p-value = 0.0288513451271079
					Kineosporia (4) (0), p-value = 0.0671940754181691
				Nakamurellaceae (1) (1), p-value = 0.74144984549491
					Nakamurella (1) (1), p-value = 0.74144984549491
				Sporichthyaceae (0) (2), p-value = 0.241810066399362
					Sporichthya (0) (2), p-value = 0.241810066399362
			Micrococcineae (12) (82), p-value = 2.50039277866394e-14
				Catenulisporaceae (1) (0), p-value = 0.508810572687225
					Catenulispora (1) (0), p-value = 0.508810572687225
