Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Alveolata	Ciliophora	environmental_samples
Alveolata	environmental_samples
Cercozoa	Heteromitidae	Heteromita
Euglenozoa	Kinetoplastida	Bodonidae	Dimastigella
Euglenozoa	Kinetoplastida	Bodonidae	Dimastigella
Euglenozoa	Kinetoplastida	Bodonidae	Dimastigella
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
Fungi	Dikarya	Ascomycota	unclassified_Ascomycota
