sequence_id,"Hugenholtz prokMSA_id","Hugenholtz Simrank id","Hugenholtz DNAML id","Hugenholtz DNAML columns","Hugenholtz tax string"
Elev_16S_386,142342,85.62,0.981287,1189,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Elev_16S_387,209145,75.37,0.953759,1193,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Elev_16S_388,109040,79.88,0.971694,1195,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Propionibacterineae; Nocardioidaceae; Unclassified; otu_339"
Elev_16S_389,81698,75.11,0.954966,1186,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-4; Ellin6075; Unclassified; otu_193"
Elev_16S_390,101092,88.05,0.974718,1175,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-6; iii1-15; Unclassified; otu_201"
Elev_16S_392,204110,70.89,0.889416,1175,"Hugenholtz:Bacteria; OD2; SM2F11; KNA6-NB23; Elev_16S_1084; Elev_16S_1619; otu_1732"
Elev_16S_393,213912,84.88,0.967945,1184,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Elev_16S_394,216191,65.35,0.916653,1194,"Hugenholtz:Bacteria; Planctomycetes; WPS-1; Ellin6207; Planctomycetales; Planctomycetales_bacterium_Ellin6207; otu_1870"
Elev_16S_395,113285,64.24,0.894474,1186,"Hugenholtz:Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; envOPS12; A30; otu_822"
Elev_16S_396,144000,75.21,0.940111,1178,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-4; Unclassified; otu_190"
Elev_16S_397,113077,40.59,0.751922,1185,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Frankineae; Geodermatophilaceae; otu_305"
Elev_16S_398,4617,79.87,0.961012,1194,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Hyphomicrobiaceae2; Unclassified; otu_1953"
Elev_16S_400,206840,100,0.999993,1195,"Hugenholtz:Bacteria; Elev_16S_1860; otu_986"
Elev_16S_403,113483,77.76,0.953919,1181,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-6; iii1-15; Unclassified; otu_201"
Elev_16S_404,206732,76.15,0.954704,1191,"Hugenholtz:Bacteria; Actinobacteria; Acidimicrobidae; EB1017_group; FAC31; otu_251"
Elev_16S_405,113077,40.74,0.752198,1186,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Frankineae; Geodermatophilaceae; otu_305"
Elev_16S_407,156961,69.96,0.919691,1070,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Ellin314; Unclassified; otu_2009"
Elev_16S_410,148081,78.01,0.960358,1193,"Hugenholtz:Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrio; Bdellovibrio_bacteriovorus; otu_2547"
Elev_16S_411,185827,61.01,0.879591,1188,"Hugenholtz:Bacteria; WS3; Sediment-1; PRR-12; otu_2862"
Elev_16S_412,216606,54.97,0.889692,1189,"Hugenholtz:Bacteria; Chloroflexi; TK17; S085; otu_902"
Elev_16S_414,215754,61.78,0.903936,1175,"Hugenholtz:Bacteria; Chlorobi; SJA-28; Unclassified; otu_805"
Elev_16S_415,206008,100,0.999993,1185,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; AKYG694; otu_1908"
Elev_16S_416,206008,100,0.999993,1185,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; AKYG694; otu_1908"
Elev_16S_417,112878,77.51,0.95918,1186,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-4; Unclassified; otu_190"
Elev_16S_418,216859,63.92,0.869402,1172,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Elev_16S_420,216804,80.76,0.966026,1149,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; Unclassified; otu_2278"
