sequence_id	Hugenholtz prokMSA_id	Hugenholtz Simrank id	Hugenholtz DNAML id	Hugenholtz DNAML columns	Hugenholtz tax string
Elev_16S_1000a	54107	79.52	0.94921		764	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1001a	32035	90.69	0.981287	762	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1002a	74966	94.67	0.985386	766	Hugenholtz:Archaea; Cenarchaea_Cren; SCA1170; Unclassified; otu_29
Elev_16S_1003a	32035	94.95	0.98947		768	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1004a	141804	59.12	0.944632	643	Hugenholtz:Archaea; Cenarchaea_Cren; NRP-J; otu_25
Elev_16S_1005a	190020	79.14	0.959486	764	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; Unclassified; otu_22
Elev_16S_1006a	74966	94.67	0.985386	766	Hugenholtz:Archaea; Cenarchaea_Cren; SCA1170; Unclassified; otu_29
Elev_16S_1007a	32035	80.5	0.959297	764	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1008a	24479	94.25	0.981345	764	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1009a	32035	95.45	0.982639	762	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1010a	30678	66.39	0.897308	751	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Elev_16S_1011a	54107	83.43	0.953032	753	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1012a	30678	81.33	0.952262	763	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Elev_16S_1013a	143651	61.81	0.921144	693	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Elev_16S_1014a	100780	77.98	0.934792	749	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
