sequence_id,"Hugenholtz prokMSA_id","Hugenholtz Simrank id","Hugenholtz DNAML id","Hugenholtz DNAML columns","Hugenholtz tax string"
Amb_16S_386,206392,89.85,0.981287,1193,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_387,114339,89.17,0.988016,1187,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_388,207115,88.91,0.981258,1194,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_389,215615,71.37,0.901726,1188,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Kineosporiaceae; Unclassified; otu_313"
Amb_16S_391,160446,66.08,0.916551,1174,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Xanthomonadales; KD8-72; otu_2520"
Amb_16S_392,105453,66.48,0.896785,1184,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Unclassified; otu_227"
Amb_16S_393,209133,99.53,0.99915,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_395,78574,63.76,0.883573,1113,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; MND1; Unclassified; otu_2278"
Amb_16S_396,163284,74.72,0.957669,1194,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Amb_16S_397,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_399,160429,66.36,0.878719,1137,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Unclassified; otu_208"
Amb_16S_400,99540,89.74,0.980299,1189,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_401,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_403,213021,67.66,0.922932,1181,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_404,210152,78.52,0.957378,1192,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Unclassified; otu_227"
Amb_16S_406,204312,56.74,0.86885,1185,"Hugenholtz:Bacteria; Actinobacteria; Acidimicrobidae; EB1017_group; Unclassified; otu_250"
Amb_16S_407,213249,71.03,0.929196,1190,"Hugenholtz:Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_2826"
Amb_16S_408,105050,86.53,0.979398,1190,"Hugenholtz:Bacteria; Actinobacteria; Actinobacteridae; Cellulomonadaceae; Cellulomonas; Unclassified; otu_281"
Amb_16S_411,138047,61.33,0.859693,1116,"Hugenholtz:Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira; Unclassified; otu_1705"
Amb_16S_412,210951,66.88,0.885346,1187,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteria-4; A08_WMSP1; otu_191"
Amb_16S_414,206962,100,0.999993,1195,"Hugenholtz:Bacteria; Acidobacteria; Solibacteres; Solibacterales; Unclassified; otu_228"
Amb_16S_415,114967,70.02,0.933673,1190,"Hugenholtz:Bacteria; Verrucomicrobia; Spartobacteria; Unclassified; otu_2826"
Amb_16S_416,60596,62.09,0.91036,1190,"Hugenholtz:Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira; Unclassified; otu_1705"
Amb_16S_418,204312,56.36,0.867891,1185,"Hugenholtz:Bacteria; Actinobacteria; Acidimicrobidae; EB1017_group; Unclassified; otu_250"
Amb_16S_419,114296,89.46,0.983831,1189,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; Burkholderiales; bacterium_Ellin6067; AKYH1344; otu_2193"
Amb_16S_420,88821,63.02,0.888384,1192,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Xanthomonadales; Unclassified; otu_2517"
Amb_16S_421,207045,100,0.999993,1187,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_442; otu_1967"
Amb_16S_423,84768,81.13,0.953759,1193,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Ellin339; Unclassified; otu_2331"
Amb_16S_424,211409,84.43,0.968802,1183,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Unclassified; otu_1966"
Amb_16S_425,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_426,213681,99.45,0.99915,1186,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Bradyrhizobiales; Rhodoplanaceae; Amb_16S_586; otu_1968"
Amb_16S_427,114920,59.79,0.882992,1189,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Alphaproteobacteria; Caulobacterales; Unclassified; otu_1977"
Amb_16S_428,210710,65.47,0.872716,1174,"Hugenholtz:Bacteria; AD3; ABS-6; otu_379"
Amb_16S_429,206908,100,0.999993,1192,"Hugenholtz:Bacteria; SPAM; JG37-AG-121; JG34-KF-252; otu_2702"
Amb_16S_430,208272,99.76,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
Amb_16S_431,163290,95.96,0.978715,1099,"Hugenholtz:Bacteria; Proteobacteria; AlphaBetaGammaproteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Janthinobacterium; Duganella; Unclassified; otu_2257"
Amb_16S_432,138676,62.01,0.906683,1191,"Hugenholtz:Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Unclassified; otu_1704"
Amb_16S_434,209133,100,0.999993,1188,"Hugenholtz:Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Ellin323; Amb_16S_521; Amb_16S_458; otu_210"
