sequence_id	Hugenholtz prokMSA_id	Hugenholtz Simrank id	Hugenholtz DNAML id	Hugenholtz DNAML columns	Hugenholtz tax string
Amb_16S_1001a	119654	50.98	0.875725	770	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1002a	190020	80.55	0.960939	764	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; Unclassified; otu_22
Amb_16S_1003a	30678	66.83	0.893544	759	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Amb_16S_1004a	190020	82.24	0.972087	767	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; Unclassified; otu_22
Amb_16S_1006a	142340	57.14	0.910055	675	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1007a	140032	41.66	0.801963	767	Hugenholtz:Archaea; Thermoplasmata_Eury; E2; terrestrial_group; Unclassified; otu_122
Amb_16S_1008a	119654	50.06	0.852993	746	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1009a	141804	54.88	0.928411	625	Hugenholtz:Archaea; Cenarchaea_Cren; NRP-J; otu_25
Amb_16S_1010a	140032	39.68	0.810248	765	Hugenholtz:Archaea; Thermoplasmata_Eury; E2; terrestrial_group; Unclassified; otu_122
Amb_16S_1011a	185612	66.06	0.897206	754	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; Cenarchaeum; Unclassified; otu_15
Amb_16S_1015a	30678	59.11	0.861016	761	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Amb_16S_1016a	190020	80.17	0.969209	764	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; Unclassified; otu_22
Amb_16S_1018a	115168	49.12	0.852688	737	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1019a	54107	79.09	0.94655		764	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1020a	185612	66.91	0.899561	759	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; Cenarchaeum; Unclassified; otu_15
Amb_16S_1021a	185612	64.43	0.892613	755	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; Cenarchaeum; Unclassified; otu_15
Amb_16S_1023a	144107	60.47	0.919429	690	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1024a	143651	64.67	0.929269	675	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1026a	30678	41.17	0.837601	770	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Amb_16S_1027a	140032	41.28	0.805698	767	Hugenholtz:Archaea; Thermoplasmata_Eury; E2; terrestrial_group; Unclassified; otu_122
Amb_16S_1028a	185612	65.06	0.899764	759	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; Cenarchaeum; Unclassified; otu_15
Amb_16S_1030a	141403	43.93	0.840072	609	Hugenholtz:Archaea; Cenarchaea_Cren; NRP-J; otu_25
Amb_16S_1031a	54107	78.14	0.942306	764	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1032a	190020	82.14	0.969224	765	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; Unclassified; otu_22
Amb_16S_1033a	30678	64	0.910084	766	Hugenholtz:Archaea; Cenarchaea_Cren; Cenarchaeales; SAGMA-X; SAGMA-D; NRP-P; otu_23
Amb_16S_1034a	143651	63.85	0.942931	686	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
Amb_16S_1035a	54107	79.61	0.944312	752	Hugenholtz:Archaea; Cenarchaea_Cren; Unclassified; otu_14
